"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OPK","Opko Health Inc","10.15","$4.71B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/opk",
"OPWR","Opower, Inc.","9.09","$467.84M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/opwr",
"OPY","Oppenheimer Holdings, Inc.","18.03","$248.13M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/opy",
"ORCL","Oracle Corporation","36.87","$157.39B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/orcl",
"ORAN","Orange","16.03","$42.46B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oran",
"OA","Orbital ATK, Inc.","77.65","$4.59B","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/oa",
"ORC","Orchid Island Capital, Inc.","9.79","$224.8M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/orc",
"OEC","Orion Engineered Carbons S.A","15.12","$901.15M","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oec",
"ORN","Orion Marine Group Inc","4.9","$133.49M","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/orn",
"IX","Orix Corp Ads","74.35","$19.5B","n/a","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/ix",
"ORA","Ormat Technologies, Inc.","37.26","$1.83B","2004","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ora",
"OSK","Oshkosh Corporation","38.81","$3.04B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/osk",
"OUT","OUTFRONT Media Inc.","23.21","$3.19B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/out",
"OMI","Owens & Minor, Inc.","34.66","$2.18B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/omi",
"OC","Owens Corning Inc","44.18","$5.19B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/oc",
"OI","Owens-Illinois, Inc.","23.39","$3.76B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/oi",
"OXM","Oxford Industries, Inc.","75.66","$1.25B","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/oxm",
"PAI","Pacific American Income Shares, Inc.","13.3575","$126.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pai",
"ROYT","Pacific Coast Oil Trust","2.2","$84.88M","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royt",
"PACD","Pacific Drilling S.A.","1.59","$334.86M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pacd",
"PCG","Pacific Gas & Electric Co.","54.29","$26.56B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/pcg",
"PKG","Packaging Corporation of America","69.05","$6.75B","2000","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/pkg",
"PANW","Palo Alto Networks, Inc.","167.96","$14.28B","2012","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/panw",
"PAM","Pampa Energia S.A.","17.79","$935.26M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pam",
"P","Pandora Media, Inc.","20.11","$4.27B","2011","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/p",
"PHX","Panhandle Royalty Company","19.18","$317.36M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
